"filename", "language", "C#", "comment", "blank", "total"
"g:\Kepler\Kepler\Assets\Scripts\Animation\AstronautsAnimation.cs", "C#", 81, 1, 14, 96
"g:\Kepler\Kepler\Assets\Scripts\BloomEffect.cs", "C#", 71, 0, 17, 88
"g:\Kepler\Kepler\Assets\Scripts\Camera\CameraController.cs", "C#", 78, 1, 21, 100
"g:\Kepler\Kepler\Assets\Scripts\Camera\CameraLayerMixer.cs", "C#", 82, 3, 15, 100
"g:\Kepler\Kepler\Assets\Scripts\Camera\LayerCamera.cs", "C#", 28, 0, 7, 35
"g:\Kepler\Kepler\Assets\Scripts\CustomPostProcessing\CameraMixer.cs", "C#", 49, 7, 10, 66
"g:\Kepler\Kepler\Assets\Scripts\CustomPostProcessing\CustomPostProcessingBase.cs", "C#", 24, 4, 5, 33
"g:\Kepler\Kepler\Assets\Scripts\CustomPostProcessing\Dof.cs", "C#", 160, 61, 46, 267
"g:\Kepler\Kepler\Assets\Scripts\CustomPostProcessing\OutlineCatcher.cs", "C#", 73, 1, 21, 95
"g:\Kepler\Kepler\Assets\Scripts\DeferredFogEffect.cs", "C#", 35, 0, 9, 44
"g:\Kepler\Kepler\Assets\Scripts\DepthOfFieldEffect.cs", "C#", 47, 1, 14, 62
"g:\Kepler\Kepler\Assets\Scripts\Editor\MyLightingShaderGUI.cs", "C#", 359, 0, 42, 401
"g:\Kepler\Kepler\Assets\Scripts\EmissiveOscillator.cs", "C#", 17, 1, 4, 22
"g:\Kepler\Kepler\Assets\Scripts\GPUInstancingTest.cs", "C#", 29, 0, 7, 36
"g:\Kepler\Kepler\Assets\Scripts\GameManager\GameManager.cs", "C#", 29, 0, 7, 36
"g:\Kepler\Kepler\Assets\Scripts\MathPlus\MathPlus.cs", "C#", 270, 40, 36, 346
"g:\Kepler\Kepler\Assets\Scripts\Quiz\QuizAstralBody.cs", "C#", 183, 7, 34, 224
"g:\Kepler\Kepler\Assets\Scripts\Quiz\QuizBase.cs", "C#", 125, 14, 35, 174
"g:\Kepler\Kepler\Assets\Scripts\Quiz\QuizData.cs", "C#", 112, 12, 17, 141
"g:\Kepler\Kepler\Assets\Scripts\Quiz\QuizEditor.cs", "C#", 43, 3, 12, 58
"g:\Kepler\Kepler\Assets\Scripts\Quiz\QuizSaver.cs", "C#", 189, 26, 37, 252
"g:\Kepler\Kepler\Assets\Scripts\Quiz\QuizSolver.cs", "C#", 115, 0, 22, 137
"g:\Kepler\Kepler\Assets\Scripts\Quiz\Transformer.cs", "C#", 17, 0, 5, 22
"g:\Kepler\Kepler\Assets\Scripts\Satellite\Satellite.cs", "C#", 28, 0, 6, 34
"g:\Kepler\Kepler\Assets\Scripts\Satellite\SatelliteController.cs", "C#", 76, 9, 18, 103
"g:\Kepler\Kepler\Assets\Scripts\Satellite\SatelliteCore.cs", "C#", 16, 0, 3, 19
"g:\Kepler\Kepler\Assets\Scripts\Satellite\SatelliteEngine.cs", "C#", 18, 0, 3, 21
"g:\Kepler\Kepler\Assets\Scripts\Satellite\SatelliteParachute.cs", "C#", 10, 0, 0, 10
"g:\Kepler\Kepler\Assets\Scripts\Satellite\SatellitePart.cs", "C#", 60, 2, 12, 74
"g:\Kepler\Kepler\Assets\Scripts\SpacePhysic\AstralBody.cs", "C#", 217, 19, 64, 300
"g:\Kepler\Kepler\Assets\Scripts\SpacePhysic\GravityTracing.cs", "C#", 242, 55, 64, 361
"g:\Kepler\Kepler\Assets\Scripts\SpacePhysic\IOrbitCalculator.cs", "C#", 20, 0, 3, 23
"g:\Kepler\Kepler\Assets\Scripts\TangentSpaceVisualizer.cs", "C#", 39, 0, 5, 44
"g:\Kepler\Kepler\Assets\Scripts\UI\AstralBodyAddUI.cs", "C#", 44, 2, 8, 54
"g:\Kepler\Kepler\Assets\Scripts\UI\AstralBodyEditorUI.cs", "C#", 108, 17, 27, 152
"g:\Kepler\Kepler\Assets\Scripts\UI\AstralBodyPlacementUI.cs", "C#", 73, 2, 10, 85
"g:\Kepler\Kepler\Assets\Scripts\UI\LengthUI.cs", "C#", 60, 2, 10, 72
"g:\Kepler\Kepler\Assets\Scripts\UI\MainUI.cs", "C#", 11, 0, 2, 13
"g:\Kepler\Kepler\Assets\Scripts\UI\MeshEditor.cs", "C#", 15, 0, 4, 19
"g:\Kepler\Kepler\Assets\Scripts\UI\OrbitGraphUI.cs", "C#", 174, 43, 36, 253
"g:\Kepler\Kepler\Assets\Scripts\UI\OrbitPanelUI.cs", "C#", 80, 2, 17, 99
"g:\Kepler\Kepler\Assets\Scripts\UI\PositionEditorUI.cs", "C#", 52, 0, 15, 67
"g:\Kepler\Kepler\Assets\Scripts\UI\Quiz\AstralBodyEditorQuizUI.cs", "C#", 35, 3, 13, 51
"g:\Kepler\Kepler\Assets\Scripts\UI\Quiz\QuizEditorUI.cs", "C#", 60, 0, 12, 72
"g:\Kepler\Kepler\Assets\Scripts\UI\Quiz\QuizLineUI.cs", "C#", 44, 0, 10, 54
